,job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,posted_date,company_size,tools_preferred,salary_min_usd,salary_max_usd
0,1,Foster and Sons,Healthcare,Data Analyst,"NumPy, Reinforcement Learning, PyTorch, Scikit-learn, GCP, FastAPI",Mid,Full-time,"Tracybury, AR",2025-08-20,Large,"KDB+, LangChain",92860.0,109598.0
1,2,"Boyd, Myers and Ramirez",Tech,Computer Vision Engineer,"Scikit-learn, CUDA, SQL, Pandas",Senior,Full-time,"Lake Scott, CU",2024-03-22,Large,"FastAPI, KDB+, TensorFlow",78523.0,144875.0
2,3,King Inc,Tech,Quant Researcher,"MLflow, FastAPI, Azure, PyTorch, SQL, GCP",Entry,Full-time,"East Paige, CM",2025-09-18,Large,"BigQuery, PyTorch, Scikit-learn",124496.0,217204.0
3,4,"Cooper, Archer and Lynch",Tech,AI Product Manager,"Scikit-learn, C++, Pandas, LangChain, AWS, R",Mid,Full-time,"Perezview, FI",2024-05-08,Large,"TensorFlow, BigQuery, MLflow",50908.0,123743.0
4,5,Hall LLC,Finance,Data Scientist,"Excel, Keras, SQL, Hugging Face",Senior,Contract,"North Desireeland, NE",2025-02-24,Large,"PyTorch, LangChain",98694.0,135413.0
5,6,Ellis PLC,E-commerce,AI Product Manager,"GCP, Excel, Scikit-learn, MLflow",Senior,Remote,"South Kevin, TZ",2025-08-07,Large,"PyTorch, TensorFlow, FastAPI",92632.0,180718.0
6,7,Matthews-Moses,Automotive,Data Analyst,"Python, Flask, Scikit-learn, GCP",Mid,Full-time,"West Shawn, LR",2024-12-23,Large,"PyTorch, MLflow",70575.0,88594.0
7,8,Mullins Ltd,Education,Data Scientist,"Excel, SQL, Flask",Entry,Internship,"Port Hailey, RU",2024-08-14,Large,BigQuery,63032.0,82144.0
8,9,Aguilar PLC,Healthcare,ML Engineer,"Pandas, LangChain, GCP, Azure",Entry,Internship,"Butlermouth, GB",2025-09-15,Large,"Scikit-learn, LangChain, BigQuery",134239.0,188504.0
9,10,Parks LLC,Automotive,Computer Vision Engineer,"Excel, Reinforcement Learning, TensorFlow",Senior,Full-time,"Nicoleshire, BA",2025-08-07,Large,"MLflow, TensorFlow",79361.0,165029.0
10,11,Vaughan-Ortiz,Tech,Data Scientist,"Keras, MLflow, Reinforcement Learning",Entry,Internship,"New Angelatown, LU",2024-01-10,Large,"LangChain, BigQuery, Scikit-learn",99964.0,125971.0
11,12,"Johnson, Guzman and Hernandez",Finance,ML Engineer,"Excel, Reinforcement Learning, Keras, Scikit-learn",Entry,Full-time,"Joychester, LT",2024-03-15,Large,"TensorFlow, PyTorch, BigQuery",63583.0,132670.0
12,13,Martin and Sons,E-commerce,NLP Engineer,"C++, Hugging Face, Python, FastAPI",Entry,Full-time,"South Michael, FM",2023-09-27,Startup,LangChain,102770.0,117026.0
13,14,Frank-Duarte,Retail,Quant Researcher,"Excel, MLflow, NumPy, Hugging Face, LangChain, FastAPI",Senior,Full-time,"Christianberg, GQ",2024-11-20,Mid,"LangChain, TensorFlow, Scikit-learn",137004.0,193975.0
14,15,Rogers Ltd,Education,NLP Engineer,"Pandas, CUDA, NumPy, FastAPI",Mid,Remote,"New Katieborough, FJ",2024-07-08,Large,FastAPI,129842.0,216741.0
15,16,Wright-Evans,Automotive,NLP Engineer,"Hugging Face, Scikit-learn, Reinforcement Learning",Senior,Remote,"Stephaniechester, LU",2024-04-06,Startup,TensorFlow,124669.0,217866.0
16,17,Preston Ltd,E-commerce,ML Engineer,"MLflow, R, C++",Entry,Full-time,"South Tim, CZ",2025-05-14,Mid,LangChain,137523.0,180097.0
17,18,Smith-Moore,Automotive,AI Product Manager,"Excel, MLflow, Hugging Face, Flask, Power BI",Entry,Internship,"Blevinsburgh, VU",2024-04-29,Startup,BigQuery,138184.0,192857.0
18,19,Webb and Sons,Healthcare,Data Scientist,"AWS, Azure, Power BI, CUDA, Reinforcement Learning, Hugging Face",Senior,Remote,"Parkmouth, CA",2024-10-19,Mid,"BigQuery, FastAPI, KDB+",100845.0,159745.0
19,20,Gates LLC,E-commerce,ML Engineer,"R, CUDA, Power BI, AWS",Mid,Internship,"Stevenhaven, BW",2024-08-29,Large,MLflow,115578.0,207180.0
20,21,"Whitaker, Walker and Sandoval",Retail,Quant Researcher,"C++, Power BI, R, SQL, Keras, Azure",Entry,Remote,"Gregorymouth, LV",2024-01-19,Large,"Scikit-learn, BigQuery, PyTorch",122521.0,175168.0
21,22,Humphrey LLC,Retail,Quant Researcher,"LangChain, NumPy, CUDA, C++, MLflow, R",Entry,Full-time,"Lake Alexander, RU",2023-12-28,Large,"PyTorch, LangChain",62483.0,105216.0
22,23,"Adams, Stevenson and Wagner",E-commerce,NLP Engineer,"CUDA, FastAPI, Scikit-learn, MLflow, Hugging Face",Mid,Remote,"North Nicholas, SN",2024-11-25,Startup,"PyTorch, Scikit-learn, KDB+",74317.0,148899.0
23,24,"Thomas, Hurst and Becker",Tech,NLP Engineer,"PyTorch, CUDA, Hugging Face, Flask, C++",Senior,Internship,"Leeton, MW",2023-12-06,Mid,Scikit-learn,68115.0,125323.0
24,25,Sherman-Nguyen,Healthcare,NLP Engineer,"Python, Reinforcement Learning, MLflow",Mid,Internship,"Suzanneview, TW",2025-06-13,Mid,FastAPI,89840.0,109693.0
25,26,Johnson-Keller,Finance,NLP Engineer,"PyTorch, Reinforcement Learning, FastAPI, Power BI, Python, R",Mid,Remote,"Whitestad, BB",2024-12-20,Mid,"FastAPI, PyTorch, KDB+",107786.0,126713.0
26,27,Le PLC,Education,Quant Researcher,"Azure, Flask, FastAPI, Hugging Face, Power BI, Python",Senior,Internship,"Taraburgh, DZ",2025-01-02,Large,"TensorFlow, Scikit-learn, FastAPI",44309.0,77284.0
27,28,"Abbott, Nielsen and Young",Healthcare,Data Analyst,"R, Python, Pandas",Entry,Contract,"New Richard, TD",2025-02-28,Startup,"PyTorch, MLflow",124616.0,172767.0
28,29,Thomas-Ruiz,Finance,Data Analyst,"Flask, Hugging Face, Pandas, Python, Scikit-learn, Keras",Mid,Internship,"South Donaldton, GE",2025-01-31,Startup,"Scikit-learn, FastAPI, LangChain",142616.0,216391.0
29,30,"Good, Ware and Cruz",Finance,Data Analyst,"Scikit-learn, SQL, Azure",Entry,Contract,"North Michael, TT",2024-06-07,Startup,TensorFlow,70932.0,161568.0
30,31,Gay PLC,Tech,Quant Researcher,"Keras, Excel, TensorFlow",Senior,Full-time,"Port Patriciaport, TG",2024-06-27,Startup,"KDB+, PyTorch",54565.0,94461.0
31,32,Kirby-Zuniga,Healthcare,Data Scientist,"Hugging Face, Scikit-learn, C++, Excel, Azure",Entry,Full-time,"Danielchester, ID",2023-09-22,Mid,"LangChain, KDB+",112660.0,179478.0
32,33,"Castillo, Campbell and Robinson",Tech,AI Product Manager,"Keras, PyTorch, AWS, FastAPI, CUDA",Mid,Contract,"Alexandriaburgh, KN",2024-09-30,Startup,"TensorFlow, Scikit-learn",55330.0,104941.0
33,34,Carter LLC,Finance,NLP Engineer,"MLflow, Keras, SQL, GCP, Power BI",Senior,Internship,"West Charles, TT",2023-11-25,Startup,PyTorch,110439.0,183071.0
34,35,Hall Group,Automotive,Computer Vision Engineer,"GCP, C++, Excel",Entry,Contract,"North Denise, MC",2024-04-01,Large,"TensorFlow, Scikit-learn",97714.0,134140.0
